"rownum","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1","CityState","longitude","latitude","accuracy"
674768,466240784,"11/29/2012","20:22:00","METER PARKING VIOLATION","920 N 12TH ST","Milwaukee, WI",-87.9270560072847,43.0419887481286,"house"
207530,461239225,"4/10/2012","13:02:00","PARKED IN EXCESS OF 2 HOURS PROHIBITED","3205 N NEWHALL ST","Milwaukee, WI",-87.8903699288867,43.0758709356318,"house"
637514,465764165,"11/8/2012","2:38:00","NIGHT PARKING - WRONG SIDE","2614 W MITCHELL ST","Milwaukee, WI",-87.9467493656636,43.0125870601846,"house"
660706,465893816,"11/20/2012","2:35:00","NIGHT PARKING","4424 N 63RD ST","Milwaukee, WI",-87.9905077284475,43.0978049446981,"house"
230275,461588326,"4/21/2012","12:38:00","METER PARKING VIOLATION","2943 N OAKLAND ST","Milwaukee, WI",NA,NA,""
21122,459121040,"1/10/2012","16:05:00","METER PARKING VIOLATION","1109 W KILBOURN ST","Milwaukee, WI",NA,NA,""
169823,460724110,"3/21/2012","11:09:00","METER PARKING VIOLATION","224 W WISCONSIN AVE","Milwaukee, WI",-87.9135066393353,43.0388220668969,"house"
101577,460330780,"2/17/2012","12:31:00","PARKED IN EXCESS OF 3 HOURS PROHIBITED","2900 N MARYLAND AVE","Milwaukee, WI",-87.882856,43.071123,"house"
426804,463698130,"7/28/2012","5:51:00","NIGHT PARKING - WRONG SIDE","1932 N 51ST ST","Milwaukee, WI",-87.9774719490183,43.0555968394724,"house"
196359,461211542,"4/4/2012","4:49:00","NIGHT PARKING - WRONG SIDE","4166 N 39TH ST","Milwaukee, WI",-87.9619116532689,43.0928488698105,"house"
635270,465750025,"11/7/2012","17:42:00","METER PARKING VIOLATION","1127 N WATER ST","Milwaukee, WI",-87.9110865007144,43.0449387248673,"house"
228006,461454980,"4/20/2012","5:40:00","NIGHT PARKING - WRONG SIDE","2460 N 38TH ST","Milwaukee, WI",-87.9609507439287,43.0635233885596,"house"
607940,465265964,"10/25/2012","21:21:00","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","2655 N 47TH ST","Milwaukee, WI",-87.972534969848,43.0670976612617,"house"
209980,461398825,"4/11/2012","13:49:00","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1620 N 10TH ST","Milwaukee, WI",-87.9241898949769,43.0518524552958,"house"
533466,464709663,"9/19/2012","17:29:00","METER PARKING VIOLATION","423 E ST PAUL AVE","Milwaukee, WI",-87.9057237705302,43.0350616190784,"house"
362803,463018522,"6/25/2012","11:39:00","METER PARKING VIOLATION","522 N PLANKINTON AV","Milwaukee, WI",-87.911086507033,43.0363576744512,"house"
727828,466459210,"12/22/2012","2:22:00","NIGHT PARKING - WRONG SIDE","832 W OHIO AVE","Milwaukee, WI",-87.9220517143091,42.9847807074081,"house"
177558,461044463,"3/26/2012","2:49:00","NIGHT PARKING - WRONG SIDE","3022 W PIERCE ST","Milwaukee, WI",-87.951843,43.0239892083333,"house"
425946,463618573,"7/27/2012","5:01:00","NIGHT PARKING","2656 N 48TH ST","Milwaukee, WI",-87.9736081479668,43.0671364228226,"house"
431098,463651300,"7/31/2012","4:21:00","NIGHT PARKING","3072 S 47TH ST","Milwaukee, WI",-87.9727597707057,42.9889304185115,"house"
446478,463892122,"8/8/2012","22:07:00","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2956 N 52 ST","Milwaukee, WI",NA,NA,""
395233,463333920,"7/11/2012","2:52:00","NIGHT PARKING","2971 N NEWHALL ST","Milwaukee, WI",-87.8904450711371,43.0722858499196,"house"
176842,461048991,"3/24/2012","6:29:00","PARKED LESS THAN 15 FEET FROM CROSSWALK","2701 S 15TH ST","Milwaukee, WI",-87.931492,42.99547,"house"
